,index,Institute,Academic Program Name,Quota,Category,Gender,Opening Rank,Closing Rank,Round,Course Time,Degree Type,IIT,State
46435,46435,Indian Institute of Technology Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,AI,SC,Female-only (including Supernumerary),3584,3673,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46436,46436,Indian Institute of Technology Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,AI,ST,Gender-Neutral,910,910,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46437,46437,Indian Institute of Technology Hyderabad,Computer Science and Engineering,AI,GEN,Gender-Neutral,368,608,6,4,Bachelor of Technology,1,Telangana
46438,46438,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,GEN,Female-only (including Supernumerary),3119,5436,6,4,Bachelor of Technology,1,Odisha
46439,46439,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,OPEN (PwD),Female-only (including Supernumerary),74,74,6,4,Bachelor of Technology,1,Odisha
46440,46440,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,EWS,Gender-Neutral,346,355,6,4,Bachelor of Technology,1,Odisha
46441,46441,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,EWS,Female-only (including Supernumerary),787,787,6,4,Bachelor of Technology,1,Odisha
46442,46442,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,EWS (PwD),Gender-Neutral,21,21,6,4,Bachelor of Technology,1,Odisha
46443,46443,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,OBC-NCL,Gender-Neutral,657,859,6,4,Bachelor of Technology,1,Odisha
46444,46444,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,OBC-NCL,Female-only (including Supernumerary),1208,2212,6,4,Bachelor of Technology,1,Odisha
46445,46445,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,OBC-NCL (PwD),Gender-Neutral,34,34,6,4,Bachelor of Technology,1,Odisha
46446,46446,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,SC,Gender-Neutral,280,366,6,4,Bachelor of Technology,1,Odisha
46447,46447,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,SC,Female-only (including Supernumerary),725,725,6,4,Bachelor of Technology,1,Odisha
46448,46448,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,ST,Gender-Neutral,142,204,6,4,Bachelor of Technology,1,Odisha
46449,46449,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,ST,Female-only (including Supernumerary),225,225,6,4,Bachelor of Technology,1,Odisha
46450,46450,Indian Institute of Technology Delhi,Electrical Engineering (Power and Automation),AI,GEN,Gender-Neutral,603,797,6,4,Bachelor of Technology,1,New Delhi
46451,46451,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,GEN,Female-only (including Supernumerary),5048,5048,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46452,46452,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,EWS,Gender-Neutral,459,459,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46453,46453,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,OBC-NCL,Gender-Neutral,1156,1240,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46454,46454,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,OBC-NCL,Female-only (including Supernumerary),2716,2716,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46455,46455,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,SC,Gender-Neutral,545,545,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46456,46456,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,ST,Gender-Neutral,371,371,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46457,46457,Indian Institute of Technology Roorkee,Data Science and Artificial Intelligence,AI,GEN,Gender-Neutral,535,822,6,4,Bachelor of Technology,1,Uttarakhand
46458,46458,Indian Institute of Technology Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,AI,GEN,Female-only (including Supernumerary),11359,11359,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46459,46459,Indian Institute of Technology Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,AI,EWS,Gender-Neutral,1264,1264,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46460,46460,Indian Institute of Technology Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,AI,OBC-NCL,Gender-Neutral,2653,2827,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46461,46461,Indian Institute of Technology Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,AI,SC,Gender-Neutral,1190,1190,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46462,46462,Indian Institute of Technology Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,AI,SC,Female-only (including Supernumerary),2607,2607,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46463,46463,Indian Institute of Technology Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,AI,ST,Gender-Neutral,854,854,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46464,46464,Indian Institute of Technology Hyderabad,Artificial Intelligence,AI,GEN,Gender-Neutral,619,840,6,4,Bachelor of Technology,1,Telangana
46465,46465,Indian Institute of Technology Bhubaneswar,Electrical Engineering,AI,GEN,Female-only (including Supernumerary),8389,10729,6,4,Bachelor of Technology,1,Odisha
46466,46466,Indian Institute of Technology Bhubaneswar,Electrical Engineering,AI,EWS,Gender-Neutral,829,1140,6,4,Bachelor of Technology,1,Odisha
46467,46467,Indian Institute of Technology Bhubaneswar,Electrical Engineering,AI,EWS,Female-only (including Supernumerary),1663,1663,6,4,Bachelor of Technology,1,Odisha
46468,46468,Indian Institute of Technology Bhubaneswar,Electrical Engineering,AI,OBC-NCL,Gender-Neutral,1884,2490,6,4,Bachelor of Technology,1,Odisha
46469,46469,Indian Institute of Technology Bhubaneswar,Electrical Engineering,AI,OBC-NCL,Female-only (including Supernumerary),4126,4801,6,4,Bachelor of Technology,1,Odisha
46470,46470,Indian Institute of Technology Bhubaneswar,Electrical Engineering,AI,SC,Gender-Neutral,1155,1440,6,4,Bachelor of Technology,1,Odisha
46471,46471,Indian Institute of Technology Bhubaneswar,Electrical Engineering,AI,SC,Female-only (including Supernumerary),1877,1941,6,4,Bachelor of Technology,1,Odisha
46472,46472,Indian Institute of Technology Bhubaneswar,Electrical Engineering,AI,ST,Gender-Neutral,636,661,6,4,Bachelor of Technology,1,Odisha
46473,46473,Indian Institute of Technology Bhubaneswar,Electrical Engineering,AI,ST,Female-only (including Supernumerary),1052,1052,6,4,Bachelor of Technology,1,Odisha
46474,46474,Indian Institute of Technology Bombay,Electrical Engineering,AI,GEN,Gender-Neutral,374,866,6,5,Bachelor and Master of Technology (Dual Degree),1,Maharashtra
46475,46475,Indian Institute of Technology Bhubaneswar,Electronics and Communication Engineering,AI,GEN,Female-only (including Supernumerary),5949,6884,6,4,Bachelor of Technology,1,Odisha
46476,46476,Indian Institute of Technology Bhubaneswar,Electronics and Communication Engineering,AI,OPEN (PwD),Gender-Neutral,178,178,6,4,Bachelor of Technology,1,Odisha
46477,46477,Indian Institute of Technology Bhubaneswar,Electronics and Communication Engineering,AI,EWS,Gender-Neutral,614,662,6,4,Bachelor of Technology,1,Odisha
46478,46478,Indian Institute of Technology Bhubaneswar,Electronics and Communication Engineering,AI,EWS,Female-only (including Supernumerary),959,959,6,4,Bachelor of Technology,1,Odisha
46479,46479,Indian Institute of Technology Bhubaneswar,Electronics and Communication Engineering,AI,EWS (PwD),Gender-Neutral,11P,11P,6,4,Bachelor of Technology,1,Odisha
46480,46480,Indian Institute of Technology Bhubaneswar,Electronics and Communication Engineering,AI,OBC-NCL,Gender-Neutral,1318,1701,6,4,Bachelor of Technology,1,Odisha
46481,46481,Indian Institute of Technology Bhubaneswar,Electronics and Communication Engineering,AI,OBC-NCL,Female-only (including Supernumerary),2826,3246,6,4,Bachelor of Technology,1,Odisha
46482,46482,Indian Institute of Technology Bhubaneswar,Electronics and Communication Engineering,AI,SC,Gender-Neutral,876,1090,6,4,Bachelor of Technology,1,Odisha
46483,46483,Indian Institute of Technology Bhubaneswar,Electronics and Communication Engineering,AI,SC,Female-only (including Supernumerary),1264,1386,6,4,Bachelor of Technology,1,Odisha
46484,46484,Indian Institute of Technology Bhubaneswar,Electronics and Communication Engineering,AI,ST,Gender-Neutral,338,390,6,4,Bachelor of Technology,1,Odisha
46485,46485,Indian Institute of Technology Bhubaneswar,Electronics and Communication Engineering,AI,ST,Female-only (including Supernumerary),853,853,6,4,Bachelor of Technology,1,Odisha
46486,46486,Indian Institute of Technology (BHU) Varanasi,Computer Science and Engineering,AI,GEN,Gender-Neutral,426,897,6,4,Bachelor of Technology,1,Uttar Pradesh
46487,46487,Indian Institute of Technology Bhubaneswar,Mechanical Engineering,AI,GEN,Female-only (including Supernumerary),14779,17941,6,4,Bachelor of Technology,1,Odisha
46488,46488,Indian Institute of Technology Bhubaneswar,Mechanical Engineering,AI,OPEN (PwD),Gender-Neutral,68P,68P,6,4,Bachelor of Technology,1,Odisha
46489,46489,Indian Institute of Technology Bhubaneswar,Mechanical Engineering,AI,EWS,Gender-Neutral,1314,1492,6,4,Bachelor of Technology,1,Odisha
46490,46490,Indian Institute of Technology Bhubaneswar,Mechanical Engineering,AI,EWS,Female-only (including Supernumerary),2678,2678,6,4,Bachelor of Technology,1,Odisha
46491,46491,Indian Institute of Technology Bhubaneswar,Mechanical Engineering,AI,OBC-NCL,Gender-Neutral,2925,3474,6,4,Bachelor of Technology,1,Odisha
46492,46492,Indian Institute of Technology Bhubaneswar,Mechanical Engineering,AI,OBC-NCL,Female-only (including Supernumerary),5713,6902,6,4,Bachelor of Technology,1,Odisha
46493,46493,Indian Institute of Technology Bhubaneswar,Mechanical Engineering,AI,SC,Gender-Neutral,1497,2013,6,4,Bachelor of Technology,1,Odisha
46494,46494,Indian Institute of Technology Bhubaneswar,Mechanical Engineering,AI,SC,Female-only (including Supernumerary),2505,2505,6,4,Bachelor of Technology,1,Odisha
46495,46495,Indian Institute of Technology Bhubaneswar,Mechanical Engineering,AI,ST,Gender-Neutral,532,978,6,4,Bachelor of Technology,1,Odisha
46496,46496,Indian Institute of Technology Bhubaneswar,Mechanical Engineering,AI,ST,Female-only (including Supernumerary),1079,1079,6,4,Bachelor of Technology,1,Odisha
46497,46497,"Indian Institute of Engineering Science and Technology, Shibpur",Architecture,OS,GEN,Gender-Neutral,518,944,6,5,Bachelor of Architecture,1,West Bengal
46498,46498,Indian Institute of Technology Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,AI,GEN,Female-only (including Supernumerary),16897,16897,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46499,46499,Indian Institute of Technology Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,AI,EWS,Gender-Neutral,1684,1684,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46500,46500,Indian Institute of Technology Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,AI,OBC-NCL,Gender-Neutral,3544,4012,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46501,46501,Indian Institute of Technology Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,AI,OBC-NCL,Female-only (including Supernumerary),8336,8336,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46502,46502,Indian Institute of Technology Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,AI,SC,Gender-Neutral,2036,2055,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46503,46503,Indian Institute of Technology Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,AI,ST,Gender-Neutral,1058,1058,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46504,46504,Indian Institute of Technology Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,AI,ST,Female-only (including Supernumerary),1430,1430,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46505,46505,Indian Institute of Technology Guwahati,Data Science and Artificial Intelligence,AI,GEN,Gender-Neutral,596,951,6,4,Bachelor of Technology,1,Assam
46506,46506,Indian Institute of Technology Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,AI,GEN,Female-only (including Supernumerary),21755,21755,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46507,46507,Indian Institute of Technology Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,AI,EWS,Gender-Neutral,1798,1798,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46508,46508,Indian Institute of Technology Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,AI,OBC-NCL,Gender-Neutral,4107,4368,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46509,46509,Indian Institute of Technology Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,AI,OBC-NCL,Female-only (including Supernumerary),7954,7954,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46510,46510,Indian Institute of Technology Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,AI,SC,Gender-Neutral,2321,2321,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
